company,tel,industry,email,url,address,contact_url
株式会社,368204378,食品,okuyama@ri-plus.jp,https://www.awashimado.co.jp/,愛媛県八幡浜市保内町川之石１－２３７－５３,https://www.awashimado.co.jp/contact.php?ini=on
NK化成株式会社,0296-44-4980,食品,info@co-jsp.co.jp,https://www.co-jsp.co.jp/,下妻市,https://www.co-jsp.co.jp/product/contact/
株式会社日本ロジコム,029-850-5005,食品,info@nichi-logi.com,http://nichi-logi.com/,茨城県,https://nichi-logi.com/contact
株式会社磯山商事,0291-32-3415,食品,info@isoyama-shoji.co.jp,http://www.isoyama-shoji.co.jp/,鉾田市,http://www.isoyama-shoji.co.jp/contact/index.html
オハヨー乳業株式会社,0291-39-6781,食品,info@ohayo-milk.co.jp,https://www.ohayo-milk.co.jp/,茨城県,https://www.ohayo-milk.co.jp/support/
スミダ飲料株式会社,029-830-2721,食品,info@sumida-inryo.co.jp,http://www.sumida-inryo.co.jp/index.html,土浦市,https://sumida-inryo.co.jp/contact/
小沼水産株式会社,029-896-1111,食品,info@onumasuisan.co.jp,http://www.onumasuisan.co.jp/index.html,かすみがうら市田伏,http://www.onumasuisan.co.jp/mail.html
株式会社野口農園,029-828-1602,食品,info@hasudane.web.fc2.com,http://hasudane.web.fc2.com/,かすみがうら市戸崎,http://hasudane.web.fc2.com/contact/
三栄フーズ株式会社,0297-44-2855,食品,info@saneifoods.co.jp,http://www.saneifoods.co.jp/,茨城県,https://www.saneifoods.co.jp/contact
株式会社油竹商店,029-263-4848,食品,info@minato-suisan.jp,http://www.minato-suisan.jp/index.html,ひたちなか市田宮原,http://www.minato-suisan.jp/gaiyou/index.html
沼尻産業株式会社,029-837-1501,食品,info@numajiri.co.jp,http://www.numajiri.co.jp/,笠間市,http://www.numajiri.co.jp/contact/
東名輸送株式会社東京営業所,0297-45-3911,食品,info@tomei-c.co.jp,http://www.tomei-c.co.jp/,守谷市百合ヶ丘,http://www.tomei-c.co.jp/
株式会社大実製作所,0296-48-9088,食品,info@omi.co.jp,https://www.omi.co.jp/,筑西市,https://www.omi.co.jp/inquiry/index.html
キコーテック株式会社,029-850-3771,食品,info@kiko-tech.co.jp,https://kiko-tech.co.jp/,つくば市,https://kiko-tech.co.jp/contact/
株式会社ヤマダフーズ,029-875-2111,食品,info@yamadafoods.co.jp,http://www.yamadafoods.co.jp/,牛久市,https://www.yamadafoods.co.jp/contact/
株式会社ミリオンエンタプライズ,0297-86-2055,食品,info@millionenterprise.co.jp,https://www.millionenterprise.co.jp/,茨城県,https://www.millionenterprise.co.jp/contact.html
株式会社エーシーケミカル,029-833-6002,食品,info@acchemical.co.jp,http://www.acchemical.co.jp/index.html,阿見町阿見,http://www.acchemical.co.jp/contact.html
さしま食品加工協同組合,0280-87-0023,食品,info@sanwa-ssg.com,http://sanwa-ssg.com/258/,境町,http://sanwa-ssg.com/contactall/
株式会社巴商会,029-282-0275,食品,info@tomoeshokai.co.jp,http://www.tomoeshokai.co.jp/about_j/index.html,茨城県,http://www.tomoeshokai.co.jp/contact.html
株式会社アーチ,0299-55-1820,食品,info@archfoods.co.jp,http://www.archfoods.co.jp/,行方市,https://www.archfoods.co.jp/contact
株式会社丸山海苔店,0297-52-7155,食品,info@maruyamanori.com,http://www.maruyamanori.com/index.html,つくばみらい市,http://www.maruyamanori.com/f/contact/mail.html
鹿島加工サービス株式会社,0299-96-2682,食品,info@kashima-kakoh.co.jp,http://www.kashima-kakoh.co.jp/,神栖市,http://www.kashima-kakoh.co.jp/contact.html
コーワ株式会社,0299-58-1155,食品,info@j-kowa.co.jp,http://www.j-kowa.co.jp/index.html,小美玉市上玉里,http://www.j-kowa.co.jp/contact/
株式会社ジェイウィング,0297-30-8081,食品,info@jwingpla.co.jp,http://www.jwingpla.co.jp/,常総市,http://www.jwingpla.co.jp/inquiry/
株式会社谷藤水産,029-267-3271,食品,info@tanitousuisan.co.jp,http://www.tanitousuisan.co.jp/,大洗町,http://www.tanitousuisan.co.jp/contact.html
株式会社ﾗｲﾌｻﾎﾟｰﾄ･ｴｶﾞﾜ,029-832-2210,食品,info@egw.co.jp,https://www.egw.co.jp/,茨城県,https://www.egw.co.jp/contact
株式会社鹿吉社会人対象求人,070-3826-3579,食品,info@shikakichi.jp,http://shikakichi.jp/company,鉾田市鹿田,http://shikakichi.jp/company/contact
飯島畜産株式会社,029-226-0231,食品,info@iijima1129.co.jp,https://www.iijima1129.co.jp/,水戸市,https://www.iijima1129.co.jp/contact/
ソントン食品工業株式会社,0299-36-3115,食品,info@sonton.co.jp,https://www.sonton.co.jp/,石岡市,https://www.sonton.co.jp/#searchform
株式会社旭物産,0299-35-7890,食品,info@asahibsn.co.jp,https://asahibsn.co.jp/,小美玉市,https://www.asahibsn.co.jp/inquiry/
森幸漁網株式会社,0479-44-4649,食品,info@morikou-net.co.jp,https://morikou-net.co.jp/,神栖市,https://morikou-net.co.jp/contact/
株式会社ステラ,0297-42-0625,食品,info@stella-pd.jp,http://www.stella-pd.jp/,茨城県,http://www.stella-pd.jp/contact.html
ミノシマ株式会社,029-304-1171,食品,info@myisland.co.jp,https://www.myisland.co.jp/index.html,水戸市元石川町,https://www.myisland.co.jp/contact.html
サンエス株式会社,0294-21-1472,食品,info@sanesu-k.jp,http://www.sanesu-k.jp/,茨城県,http://www.sanesu-k.jp/contact/
深作農園有限会社,0291-35-5870,食品,info@fukasaku.com,https://fukasaku.com/,鉾田市台濁沢,https://fukasaku.com/contact/
株式会社ギンビス,0280-98-1853,食品,info@ginbis.co.jp,http://www.ginbis.co.jp/,古河市丘里,https://ginbis.co.jp/contact/
和光化学株式会社,027-361-6161,食品,info@wakochemical.jp,https://wakochemical.jp/,高崎市,https://wakochemical.jp/contact/
株式会社UACJ製箔サービス,0270-23-1189,食品,info@ufo.uacj-group.com,https://ufo.uacj-group.com/,伊勢崎市,https://ufo.uacj-group.com/inquiry/inquiry_ufo_jps/index/2/
株式会社ヨコオデイリーフーズ,0274-70-4000,食品,info@yokoo-net.co.jp,http://www.yokoo-net.co.jp/,甘楽町,https://www.yokoo-net.co.jp/contact/
東亜薬品工業株式会社,0276-72-4941,食品,info@toabio.co.jp,http://www.toabio.co.jp/,館林市,http://www.toabio.co.jp/contact/
株式会社ミートODA,027-327-0077,食品,info@meatoda.com,http://www.meatoda.com/,高崎市藤塚町,http://www.meatoda.com/contact.html
高崎森永株式会社,027-395-0111,食品,info@takasaki-morinaga.jp,https://takasaki-morinaga.jp/,高崎市宮原町,https://takasaki-morinaga.jp/
サトウ産業株式会社前橋工場,027-289-9446,食品,info@satosangyo.jp,http://www.satosangyo.jp/,前橋市五代町,http://www.satosangyo.jp/contact/
株式会社ヤマダイフーズ,0278-30-3066,食品,info@yamadaifoods.com,http://www.yamadaifoods.com/,群馬県,http://www.yamadaifoods.com/contact.html
タチバナ食品株式会社,0270-61-6308,食品,info@tachibana-foods.com,http://www.tachibana-foods.com/,玉村町大字角渕,http://www.tachibana-foods.com/inquiry/#form
共栄フード株式会社,0270-75-6813,食品,info@kyoeifood.co.jp,https://www.kyoeifood.co.jp/,伊勢崎市,https://www.kyoeifood.co.jp/inquiry/
マスイ製菓株式会社,0276-25-1074,食品,info@masui-seika.com,http://masui-seika.com/index.html,太田市東長岡町,http://masui-seika.com/index.html#section-24
高信化学株式会社,027-361-3221,食品,info@koshin-chem.co.jp,http://www.koshin-chem.co.jp/,高崎市,http://www.koshin-chem.co.jp/contact/
