company,tel,url,address,contact_url
株式会社朝日硬質鍍金工業所,072-268-0008,http://www.asahi-mekki.co.jp/,大阪府堺市西区 築港浜寺西町7,https://asahi-mekki.co.jp/form
カンノ工業株式会社,03-3850-1671,http://kanno-kk.co.jp/,東京都足立区保木間５丁目３４−１７,http://kanno-kk.co.jp/contact
アサヒ設備工業株式会社,03-3680-1491,https://asahi-setsubikogyo.co.jp/,東京都江戸川区船堀５丁目４−１０,https://asahi-setsubikogyo.co.jp/pages/5/
株式会社サンフィールド工業,045-543-3798,http://www.sunfi.co.jp/,神奈川県横浜市港北区綱島東５丁目４−２４,http://www.sunfi.co.jp/contact.html
有限会社関西テクノデザイン,078-382-3021,http://kansaitechno.co.jp/index.html,兵庫県神戸市中央区花隈町１４−１０,http://kansaitechno.co.jp/index.html
共栄機器産業株式会社,04-2944-7532,http://kyoeikiki-s.co.jp/,埼玉県所沢市東所沢和田２丁目４−４−１,http://kyoeikiki-s.co.jp/inquiry.html
太平金属株式会社本社,0795-32-0986,http://www.taiheikinzoku.net/index.html,兵庫県多可郡多可町中区牧野字新田419-1,http://www.taiheikinzoku.net/contents/inq/index.html
,,,,
日清鋼業株式会社,079-443-4811,http://www.nisshinkogyo.com/index.html,高砂支店: 高砂市荒井町新浜2丁目3番1号 (株)神戸製鋼所高砂製作所 ふれあい会館内,https://www.nisshinkogyo.com/contact
株式会社計測器センター総合技術研究所,072-755-9321,http://www.kcenter.co.jp/index.html,兵庫県川西市栄根2-6-7,http://www.kcenter.co.jp/contact.html
株式会社三島,078-991-1567,http://www.misima.co.jp/index.html,兵庫県神戸市西区高塚台３丁目１−５２,http://www.misima.co.jp/inquiry/index.html
阪神バレル株式会社,0794-86-2167,http://www.h-barrel.com/,兵庫県三木市細川町金屋４６５番地の１,http://www.h-barrel.com/contacts/
有限会社廣栄シャーリング産業,072-949-8093,http://www.kouei-ss.com/index.html,大阪府八尾市太田新町８丁目３９,https://kouei-ss.com/contact
株式会社大誠樹脂上郡工場,0791-52-1011,https://www.taisei-jushi.co.jp/,上郡工場: 兵庫県赤穂郡上郡町山野里３３３−４,https://www.taisei-jushi.co.jp/contact/
念治鐵工株式会社上野工場,0595-39-0029,http://www.nenji.jp/index.html,三重県伊賀市予野 字シダ川11135-3,http://www.nenji.jp/contact.html
ナカザワ建販株式会社プレカット事業部,0736-77-6533,http://www.nakazawa-kenpan.co.jp/,和歌山支店: 和歌山県紀の川市西三谷505番地,https://www.nakazawa-kenpan.co.jp/inquiry/
有限会社米虫金属製作所,0744-22-8494,http://kmk.petitmoka.com/,奈良県橿原市南浦町９１８,http://kmk.petitmoka.com/inquiry/
八千代重量株式会社,06-6780-2828,https://yachiyo-j.com/index.php,大阪府門真市桑才新町20番3号,https://yachiyo-j.com/contact.php
,,,,
,,,,
有限会社伸栄製作所,045-593-5200,https://www.shin-ei-seisakujo.com/,[第三工場]横浜市都筑区池辺町,https://www.shin-ei-seisakujo.com/contact
内外カーボンインキ株式会社,0774-88-4711,http://www.ncikk.co.jp/index.html,宇治田原工場: 京都府綴喜郡宇治田原町大字立川小字金井谷19-14,http://www.ncikk.co.jp/index.html
株式会社髙橋鋳造所,0745-52-4805,なし,奈良県大和高田市今里町２−２８,https://tyuzou.com/contact/
カーレポ株式会社,0294-54-0044,https://www.carepo.jp/,茨城県日立市大和田町８８０,https://www.carepo.jp/publics/index/3/
,,,,
リビングセンター株式会社,06-6856-0308,https://www.livingcenter.co.jp/,大阪府豊中市中桜塚５丁目１−１１,https://www.livingcenter.co.jp/reform/reform_su.html
タミヤ株式会社,0744-34-1000,http://www.tmy.jp/index.html,奈良県磯城郡田原本町大字味間３４,http://www.tmy.jp/contact/index.html
株式会社中川製作所水戸工場,029-288-5971,https://www.nakagawa-mfg.co.jp/,茨城県東茨城郡城里町下古内字押越７９８−２,https://www.nakagawa-mfg.co.jp/inquiry
株式会社ｴｲｱｲ･ﾌｨｰﾙﾄﾞ(AIﾌｨｰﾙﾄﾞ),03-5816-2610,https://i-fieldnet.com/,東京都千代田区外神田５丁目３−１,https://i-fieldnet.com/contact/
ヨーホー電子株式会社,072-881-6355,http://yoho-denshi.com/,大阪府門真市四宮６丁目６−４６,http://yoho-denshi.com/contact.html
株式会社アオキ,06-6781-5141,http://aoki-maido.co.jp/?page_id=40,大阪府東大阪市高井田中５丁目７−３,http://aoki-maido.co.jp/web/form
iCOM技研株式会社,0794-70-8407,https://www.icom-giken.com/,兵庫県小野市敷地町８１１−１,https://www.icom-giken.com/contact/
株式会社ニッピ機械,0790-49-1414,http://www.nippy.jp/,兵庫県加西市下宮木町767-1,http://www.nippy.jp/contact/
京阪メタル株式会社,075-681-4108,https://www.keihan-p.co.jp/,京都府京都市南区上鳥羽南鉾立町１３,https://www.keihan-p.co.jp/contact.html
東阪エンジニアリング株式会社,072-483-8415,http://www.tohan-eng.jp/,大阪府泉南市５ 大阪府泉南市馬場1丁目701−1,http://www.tohan-eng.jp/inquiry/index.php
ミツマル株式会社,0537-26-3031,http://www.mitsumaru.co.jp/,掛川市上垂木2662,http://www.mitsumaru.co.jp/contact/FNO1/
,,,,
株式会社共生システム,0745-77-1117,kyosei-system.co.jp,奈良県香芝市上中１２４２,https://kyosei-system.co.jp/contact/
有限会社中山製作所,049-257-1216,http://www.nakayama-mfg.com/,埼玉県入間郡三芳町大字竹間沢３１９−３,http://www.nakayama-mfg.com/#contact
,,,,
竹澤株式会社,0277-76-3580,https://www.takekabu.co.jp/,群馬県みどり市笠懸町鹿２５４２−９,https://www.takekabu.co.jp/pub/contact/form.php
大享印刷株式会社多気工場,0598-39-3080,http://www.daikyo-printing.co.jp/,三重県多気郡多気町野中１４０８,http://www.daikyo-printing.co.jp/index.html
株式会社三和紙器,027-382-1711,http://www.sanwa-shiki.com/kaisya.html,群馬県安中市上間仁田５８０,http://www.sanwa-shiki.com/contact.html
和田金型工業株式会社,078-991-3521,http://www.wadakk.co.jp/,兵庫県神戸市西区高塚台３丁目１−１−１７,http://www.wadakk.co.jp/?page_id=187
株式会社ニッシンテクノ,072-963-8081,http://www.nissin-techno.com/,大阪府東大阪市吉田１−１０−３０,https://nissin-techno.com/contact
株式会社カミムラ,059-365-7680,なし,三重県四日市市下さざらい町４−１６,https://kamimura-metal.com/
,,,,
株式会社大京精研,06-6916-2177,http://www.daikyo-seiken.co.jp/,大阪府門真市桑才新町２１−５,https://www.daikyo-seiken.co.jp/contact
ZAN株式会社,059-379-0338,zan.jp/index.html,三重県鈴鹿市平野町7692-6,https://zan.jp/
