timestamp,call_sid,status,duration
2026-03-18T13:01:09+09:00,CAc2f774887456be10a52ccbbc6b938cc3,initiated,
2026-03-18T13:01:10+09:00,CAc2f774887456be10a52ccbbc6b938cc3,busy,0
2026-03-18T13:02:44+09:00,CA53d9e8d512ed23a3abf20cbdc040ae23,initiated,
2026-03-18T13:02:50+09:00,CA53d9e8d512ed23a3abf20cbdc040ae23,ringing,
2026-03-18T13:02:56+09:00,CA53d9e8d512ed23a3abf20cbdc040ae23,in-progress,
2026-03-18T13:03:19+09:00,CAef825cb48ff9feb43183d5d5961ea570,initiated,
2026-03-18T13:03:20+09:00,CAef825cb48ff9feb43183d5d5961ea570,busy,0
2026-03-18T13:03:21+09:00,CA53d9e8d512ed23a3abf20cbdc040ae23,completed,25
2026-03-18T13:03:21+09:00,CA1f49d4df79eca1dbcc02db903a744732,initiated,
2026-03-18T13:03:24+09:00,CA1f49d4df79eca1dbcc02db903a744732,ringing,
2026-03-18T13:03:29+09:00,CA1f49d4df79eca1dbcc02db903a744732,in-progress,
2026-03-18T13:03:54+09:00,CA3c039a3a8ca2a65de677869366bb267b,initiated,
2026-03-18T13:03:54+09:00,CA1f49d4df79eca1dbcc02db903a744732,completed,25
2026-03-18T13:03:55+09:00,CA3c039a3a8ca2a65de677869366bb267b,busy,0
2026-03-19T12:53:31+09:00,CAd52ff19dc1ea0fa0bfac32661fc2abbb,initiated,
2026-03-19T12:53:37+09:00,CAd52ff19dc1ea0fa0bfac32661fc2abbb,ringing,
2026-03-19T12:53:41+09:00,CAd52ff19dc1ea0fa0bfac32661fc2abbb,in-progress,
2026-03-19T12:54:02+09:00,CA633f5ada9c8a7011ac609eb957d1cf6d,initiated,
2026-03-19T12:54:03+09:00,CAd52ff19dc1ea0fa0bfac32661fc2abbb,completed,23
2026-03-19T12:54:04+09:00,CA633f5ada9c8a7011ac609eb957d1cf6d,ringing,
2026-03-19T12:54:05+09:00,CA2215ff1a4574a61e19dc4a9f529fcbb4,initiated,
2026-03-19T12:54:08+09:00,CA2215ff1a4574a61e19dc4a9f529fcbb4,ringing,
2026-03-19T12:54:10+09:00,CA2215ff1a4574a61e19dc4a9f529fcbb4,in-progress,
2026-03-19T12:54:13+09:00,CA633f5ada9c8a7011ac609eb957d1cf6d,no-answer,0
2026-03-19T12:54:34+09:00,CA2215ff1a4574a61e19dc4a9f529fcbb4,completed,23
